2020/11/23 09:37:01.955 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0",1,20," order by m.id  desc"))
2020/11/23 09:37:16.751 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0",1,20," order by m.id  desc"))
2020/11/23 09:44:52.188 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0 and m.f_re_deptid = ",1,20," order by m.id  desc"))
2020/11/23 09:45:07.728 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0 and m.f_re_deptid = ",1,20," order by m.id  desc"))
2020/11/23 09:46:39.042 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_re_date >= "2020-09-21 00:00:00 " and m.f_re_date <="2020-09-21 23:59:59" ",1,20," order by m.id  desc"))
2020/11/23 09:58:11.759 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE "%超级%") ",1,20," order by m.id  desc"))
2020/11/23 10:33:00.305 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') ",1,20," order by m.id  desc"))
2020/11/23 10:33:20.084 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') ",1,20," order by m.id  desc"))
2020/11/23 10:35:58.797 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') and m.f_re_date >= '2020-11-03 00:00:00' and m.f_re_date <= '2020-11-03 23:59:59' ",1,20," order by m.id  desc"))
2020/11/23 10:47:25.139 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (3,0,"",1,"{"f_status":"0","f_type":"0","f_borrow_deptid":"92","f_borrow_username":"超级管理员","f_borrow_bdate":"2020-11-03","f_borrow_edate":"2020-11-03","f_return_bdate":"","f_return_edate":""}",1,20," order by m.id desc "))
2020/11/23 11:00:24.175 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (6,0,"",1," and m.f_status =0 and m.f_Out_Deptid =6 and m.f_IN_Deptid =51 and ( m.f_create_user in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') and m.f_date >= '2020-11-03 00:00:00' and m.f_date <= '2020-11-03 23:59:59' ",1,20," order by m.id desc "))
2020/11/23 16:34:53.128 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_userid from (SELECT tt.f_userid FROM tbl_token tt WHERE tt.f_token = "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHBpcmVfdGltZSI6IjIwMjAtMTEtMjMiLCJmX2ZsYWciOiIwIiwiZl9uYW1lIjoi6LaF57qn566h55CG5ZGYIiwiZl9ubyI6ImFkbWluIiwiZl9wYXNzd29yZCI6IjEyMzQiLCJmX3JvbGVpZCI6Ii0xIiwiZl9zdGF0dXMiOiIxIiwiaWQiOiIxIn0.aWt4RAtM6fsoW1s7DqC4EtQgZfbdDidL5Vei9QCIxAk") a LIMIT 0,1)
2020/11/23 16:34:53.725 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 3) a LIMIT 0,1)
2020/11/23 16:34:53.726 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 4) a LIMIT 0,1)
2020/11/23 16:34:53.727 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 5) a LIMIT 0,1)
2020/11/23 16:34:53.727 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 6) a LIMIT 0,1)
2020/11/23 16:34:53.728 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 7) a LIMIT 0,1)
2020/11/23 16:34:53.730 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 9) a LIMIT 0,1)
2020/11/23 16:34:53.730 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 10) a LIMIT 0,1)
2020/11/23 16:34:53.731 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 11) a LIMIT 0,1)
